hotel_name,hotel_slug,check_in_date,check_out_date,nights,guests,rooms,day_offset,availability,total_price,original_price,price_per_night,has_discount,discount_percentage,rating_score,review_count,scrape_timestamp
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-10-29,2025-10-31,2,2,1,0,sold_out,,,,False,,,,2025-10-29T15:15:04.072139
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-10-31,2025-11-02,2,2,1,2,sold_out,,,,False,,,,2025-10-29T15:15:12.341757
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-02,2025-11-04,2,2,1,4,sold_out,,,,False,,,,2025-10-29T15:15:19.644117
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-04,2025-11-06,2,2,1,6,sold_out,,,,False,,,,2025-10-29T15:15:26.549793
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-06,2025-11-08,2,2,1,8,sold_out,,,,False,,,,2025-10-29T15:15:33.810967
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-08,2025-11-10,2,2,1,10,sold_out,,,,False,,,,2025-10-29T15:15:41.122402
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-10,2025-11-12,2,2,1,12,sold_out,,,,False,,,,2025-10-29T15:15:48.520011
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-12,2025-11-14,2,2,1,14,sold_out,,,,False,,,,2025-10-29T15:15:55.835039
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-14,2025-11-16,2,2,1,16,sold_out,,,,False,,,,2025-10-29T15:16:04.168589
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-16,2025-11-18,2,2,1,18,available,80472.0,100590.0,40236.0,True,20.0,,,2025-10-29T15:16:11.814935
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-18,2025-11-20,2,2,1,20,sold_out,,,,False,,,,2025-10-29T15:16:26.424896
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-20,2025-11-22,2,2,1,22,sold_out,,,,False,,,,2025-10-29T15:16:34.832534
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-22,2025-11-24,2,2,1,24,available,80472.0,100590.0,40236.0,True,20.0,,,2025-10-29T15:16:41.450729
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-24,2025-11-26,2,2,1,26,sold_out,,,,False,,,,2025-10-29T15:16:49.364576
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-26,2025-11-28,2,2,1,28,available,80472.0,100590.0,40236.0,True,20.0,,,2025-10-29T15:16:59.233731
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-28,2025-11-30,2,2,1,30,available,80472.0,100590.0,40236.0,True,20.0,,,2025-10-29T15:17:07.720500
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-30,2025-12-02,2,2,1,32,available,80472.0,100590.0,40236.0,True,20.0,,,2025-10-29T15:17:14.406988
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-02,2025-12-04,2,2,1,34,available,80472.0,100590.0,40236.0,True,20.0,,,2025-10-29T15:17:21.373434
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-04,2025-12-06,2,2,1,36,sold_out,3100.0,,1550.0,False,,,,2025-10-29T15:17:29.555429
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-06,2025-12-08,2,2,1,38,sold_out,3100.0,,1550.0,False,,,,2025-10-29T15:17:36.158294
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-08,2025-12-10,2,2,1,40,available,80472.0,100590.0,40236.0,True,20.0,,,2025-10-29T15:17:42.984667
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-10,2025-12-12,2,2,1,42,available,80472.0,100590.0,40236.0,True,20.0,,,2025-10-29T15:17:50.125022
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-12,2025-12-14,2,2,1,44,available,80472.0,100590.0,40236.0,True,20.0,,,2025-10-29T15:17:57.957474
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-14,2025-12-16,2,2,1,46,available,81478.0,90531.0,40739.0,True,10.0,,,2025-10-29T15:18:04.831242
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-16,2025-12-18,2,2,1,48,sold_out,3100.0,,1550.0,False,,,,2025-10-29T15:18:10.839264
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-18,2025-12-20,2,2,1,50,available,90531.0,,45265.5,False,,,,2025-10-29T15:18:17.142949
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-20,2025-12-22,2,2,1,52,sold_out,,,,False,,,,2025-10-29T15:18:23.472470
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-22,2025-12-24,2,2,1,54,sold_out,,,,False,,,,2025-10-29T15:18:29.643087
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-24,2025-12-26,2,2,1,56,sold_out,,,,False,,,,2025-10-29T15:18:36.304381
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-26,2025-12-28,2,2,1,58,sold_out,,,,False,,,,2025-10-29T15:18:43.609721
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-28,2025-12-30,2,2,1,60,sold_out,,,,False,,,,2025-10-29T15:18:50.161961
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-30,2026-01-01,2,2,1,62,sold_out,,,,False,,,,2025-10-29T15:18:56.086087
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2026-01-01,2026-01-03,2,2,1,64,sold_out,,,,False,,,,2025-10-29T15:19:03.217446
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2026-01-03,2026-01-05,2,2,1,66,sold_out,,,,False,,,,2025-10-29T15:19:10.107807
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2026-01-05,2026-01-07,2,2,1,68,sold_out,,,,False,,,,2025-10-29T15:19:16.796250
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2026-01-07,2026-01-09,2,2,1,70,sold_out,,,,False,,,,2025-10-29T15:19:23.834609
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2026-01-09,2026-01-11,2,2,1,72,sold_out,,,,False,,,,2025-10-29T15:19:30.813729
