hotel_name,hotel_slug,check_in_date,check_out_date,nights,guests,rooms,day_offset,availability,total_price,original_price,price_per_night,has_discount,discount_percentage,rating_score,review_count,total_room_types,available_room_types,sold_out_room_types,property_occupancy_rate,min_room_price,max_room_price,avg_room_price,room_names,scrape_timestamp
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-05,2025-11-07,2,2,1,0,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-05T23:46:10.992125
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-06,2025-11-08,2,2,1,1,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-05T23:46:21.819425
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-07,2025-11-09,2,2,1,2,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-05T23:46:33.027694
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-08,2025-11-10,2,2,1,3,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-05T23:46:43.721784
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-09,2025-11-11,2,2,1,4,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-05T23:46:54.313377
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-10,2025-11-12,2,2,1,5,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-05T23:47:04.921810
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-11,2025-11-13,2,2,1,6,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-05T23:47:16.345548
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-12,2025-11-14,2,2,1,7,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-05T23:47:27.029990
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-13,2025-11-15,2,2,1,8,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-05T23:47:38.279573
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-14,2025-11-16,2,2,1,9,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-05T23:47:48.580532
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-15,2025-11-17,2,2,1,10,available,90531.0,,45265.5,False,,,,0,0,0,,,,,,2025-11-05T23:47:59.991931
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-16,2025-11-18,2,2,1,11,available,80472.0,100590.0,40236.0,True,20.0,,,0,0,0,,,,,,2025-11-05T23:48:10.777497
