@row.id,@row.allow,@row.color,Area (Ha),Block No,Cultivar On Block,Id,Orchard Orchard Description,Production Unit Name
1,,,0.5,BR01,Midknight,0,Blyderus MKN,Blyderus
2,,,1.46,BR02A,Midknight,1,Blyderus MKN,Blyderus
3,,,2.04,BR03,Midknight,2,Blyderus MKN,Blyderus
4,,,2.21,BR04,Midknight,3,Blyderus MKN,Blyderus
5,,,2.66,BR05,Midknight,4,Blyderus MKN,Blyderus
6,,,1.5,BR06,Midknight,5,Blyderus MKN,Blyderus
7,,,1.8,BR07A,Midknight,6,Blyderus MKN,Blyderus
8,,,1.48,BR08A,Midknight,7,Blyderus MKN,Blyderus
9,,,0.4,BR09A,Midknight,8,Blyderus MKN,Blyderus
10,,,0.49,BR10,Midknight,9,Blyderus MKN,Blyderus
11,,,1.03,BR13A,Midknight,10,Blyderus MKN,Blyderus
12,,,1.29,BR07B,Valencia Late,11,Blyderus Late,Blyderus
13,,,1.36,BR08B,Valencia Late,12,Blyderus Late,Blyderus
14,,,1.3,BR09B,Valencia Late,13,Blyderus Late,Blyderus
15,,,0.79,BR11A,Valencia Late,14,Blyderus Late,Blyderus
16,,,0.88,BR12A,Valencia Late,15,Blyderus Late,Blyderus
17,,,1.62,R39,Benny,16,BEN,Essex
18,,,1.8,R40,Benny,17,BEN,Essex
19,,,1.8,R41,Benny,18,BEN,Essex
20,,,1.21,R63,Benny,19,BEN,Essex
21,,,1.85,R20,Delta,20,DEL 1,Essex
22,,,1.83,R21,Delta,21,DEL 1,Essex
23,,,1.78,R22,Delta,22,DEL 1,Essex
24,,,1.79,R47,Delta,23,DEL 1,Essex
25,,,1.64,R48,Delta,24,DEL 1,Essex
26,,,1.85,R58,Delta,25,DEL 2,Essex
27,,,1.85,R60,Delta,26,DEL 3,Essex
28,,,1.85,R61,Delta,27,DEL 3,Essex
29,,,1.83,R62,Delta,28,DEL 3,Essex
30,,,1.94,R66,Delta,29,DEL 4,Essex
31,,,1.54,R67,Delta,30,DEL 4,Essex
32,,,1.69,R68,Delta,31,DEL 4,Essex
33,,,1.68,R69,Delta,32,DEL 4,Essex
34,,,1.79,R70,Delta,33,DEL 2,Essex
35,,,1.84,R71,Delta,34,DEL 2,Essex
36,,,1,R35A,Du Roi,35,DU ROI 2,Essex
37,,,1.34,R36,Du Roi,36,DU ROI 2,Essex
38,,,1.62,R37,Du Roi,37,DU ROI 2,Essex
39,,,1.48,R38,Du Roi,38,DU ROI 2,Essex
40,,,2.02,R51,Du Roi,39,DU ROI 1,Essex
41,,,1.85,R52,Du Roi,40,DU ROI 1,Essex
42,,,1.84,R53,Du Roi,41,DU ROI 1,Essex
43,,,1.85,R54,Du Roi,42,DU ROI 1,Essex
44,,,1.11,R28,Benny,43,LAVELLE,Essex
45,,,1.11,R29,Jassie,44,LAVELLE,Essex
46,,,1.11,R30,Jassie,45,LAVELLE,Essex
47,,,1.42,R31,Jassie,46,LAVELLE,Essex
48,,,1.65,R32,Jassie,47,LAVELLE,Essex
49,,,1.61,R33,Jassie,48,LAVELLE,Essex
50,,,1.81,R19,Midknight,49,MKN 1,Essex
51,,,1.11,R49,Midknight,50,MKN 4,Essex
52,,,1.15,R50,Midknight,51,MKN 4,Essex
53,,,1.46,R78,Midknight,52,MKN 2,Essex
54,,,1.65,R79,Midknight,53,MKN 2,Essex
55,,,1.42,R80,Midknight,54,MKN 2,Essex
56,,,1.59,R81,Midknight,55,MKN 2,Essex
57,,,1.64,R82,Midknight,56,MKN 2,Essex
58,,,0.94,R83,Midknight,57,MKN 2,Essex
59,,,0.56,R84,Midknight,58,MKN 2,Essex
60,,,1.34,R34,Star Ruby,59,STR 5,Essex
61,,,1.88,R44,Star Ruby,60,STR 2,Essex
62,,,1.81,R45,Star Ruby,61,STR 2,Essex
63,,,1.86,R46,Star Ruby,62,STR 2,Essex
64,,,1.46,R72,Star Ruby,63,STR 5,Essex
65,,,0.97,R73,Star Ruby,64,STR 5,Essex
66,,,1.27,R74,Star Ruby,65,STR 5,Essex
67,,,1.35,R75,Star Ruby,66,STR 5,Essex
68,,,1.43,R76,Star Ruby,67,STR 5,Essex
69,,,1.5,R77,Star Ruby,68,STR 5,Essex
70,,,1.85,R55,Turkey,69,TURK 2,Essex
71,,,1.83,R56,Turkey,70,TURK 2,Essex
72,,,1.85,R57,Turkey,71,TURK 2,Essex
73,,,1.84,R59,Turkey,72,TURK 2,Essex
74,,,1.86,R65,Turkey,73,TURK 2,Essex
75,,,0.43,L84,Valencia Late,74,VAL 7 (Duikerland),Essex
76,,,1.4,L85,Valencia Late,75,VAL 7 (Duikerland),Essex
77,,,0.54,L86,Valencia Late,76,VAL 7 (Duikerland),Essex
78,,,1.49,L87,Valencia Late,77,VAL 7 (Duikerland),Essex
79,,,0.86,L88,Valencia Late,78,VAL 7 (Duikerland),Essex
