hotel_name,hotel_slug,check_in_date,check_out_date,nights,guests,rooms,day_offset,availability,total_price,original_price,price_per_night,has_discount,discount_percentage,rating_score,review_count,total_room_types,available_room_types,sold_out_room_types,property_occupancy_rate,min_room_price,max_room_price,avg_room_price,room_names,scrape_timestamp
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-29,2025-12-01,2,2,1,0,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-29T13:37:52.151782
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-11-30,2025-12-02,2,2,1,1,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-29T13:38:04.139450
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-01,2025-12-03,2,2,1,2,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-29T13:38:14.734028
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-02,2025-12-04,2,2,1,3,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-29T13:38:25.486296
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-03,2025-12-05,2,2,1,4,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-29T13:38:36.545204
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-04,2025-12-06,2,2,1,5,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-29T13:38:49.758922
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-05,2025-12-07,2,2,1,6,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-29T13:39:04.103590
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-06,2025-12-08,2,2,1,7,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-29T13:39:17.099373
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-07,2025-12-09,2,2,1,8,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-29T13:39:29.163704
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-08,2025-12-10,2,2,1,9,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-29T13:39:41.219038
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-09,2025-12-11,2,2,1,10,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-29T13:39:52.887741
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-10,2025-12-12,2,2,1,11,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-29T13:40:04.743743
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-11,2025-12-13,2,2,1,12,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-29T13:40:15.926697
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-12,2025-12-14,2,2,1,13,available,80472.0,100590.0,40236.0,True,20.0,,,1,1,0,0.0,80472.0,80472.0,80472.0,Three-Bedroom Villa,2025-11-29T13:40:25.020650
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-13,2025-12-15,2,2,1,14,available,90531.0,,45265.5,False,,,,1,1,0,0.0,90531.0,90531.0,90531.0,Three-Bedroom Villa,2025-11-29T13:40:33.816887
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-14,2025-12-16,2,2,1,15,available,90531.0,,45265.5,False,,,,1,1,0,0.0,90531.0,90531.0,90531.0,Three-Bedroom Villa,2025-11-29T13:40:43.634260
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-15,2025-12-17,2,2,1,16,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-29T13:40:55.631345
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-16,2025-12-18,2,2,1,17,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-29T13:41:06.680430
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-17,2025-12-19,2,2,1,18,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-29T13:41:18.419198
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-18,2025-12-20,2,2,1,19,available,90531.0,,45265.5,False,,,,1,1,0,0.0,90531.0,90531.0,90531.0,Three-Bedroom Villa,2025-11-29T13:41:27.125976
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-19,2025-12-21,2,2,1,20,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-29T13:41:39.171250
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-20,2025-12-22,2,2,1,21,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-29T13:41:50.471434
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-21,2025-12-23,2,2,1,22,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-29T13:42:02.360503
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-22,2025-12-24,2,2,1,23,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-29T13:42:13.992928
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-23,2025-12-25,2,2,1,24,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-29T13:42:25.848231
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-24,2025-12-26,2,2,1,25,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-29T13:42:37.518365
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-25,2025-12-27,2,2,1,26,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-29T13:42:49.500116
Ukanyi Luxury Villa,ukanyi-luxury-villa-hoedspruit,2025-12-26,2025-12-28,2,2,1,27,sold_out,,,,False,,,,0,0,0,,,,,,2025-11-29T13:43:02.830366
